sampleid,average_mintemp,average_precip,average_veg,lnndvi,neonics,migratory_proxy,operation_type,operation_defined,stationary,honey,pollination,beeolddatamigratory,queen,yard,hobbiest,nuc,research,bumblebee,acetamiprid,clothianidin,dinotefuran,imidacloprid,thiacloprid,thiamethoxam,state,year,region,surveydate,y,x,month,mites,lnmites,nosema,lnnosema,abpv,abpv_d,bqcv,bqcv_d,dwv,dwv_d,cbpv,cbpv_d,iapv,iapv_d,kbv,kbv_d,sbpv,sbpv_d,trop,trop_d,n_apis,n_apis_d,n_ceranae,n_ceranae_d,a_cerana,n_ceranae_per,dwv_percentage,bqcv_percentage,nosema_d,mites_d,collection,submitdate,totalarea,cornall,corn,cotton,sorghum,soybeans,peanuts,winter_wheat,dbl_crop_winwht_soybeans,rye,oats,millet,other_hay_non_alfalfa,other_crops,watermelons,sod_grass_seed,fallow_idle_cropland,shrubland,barren,apples,pecans,aquaculture,open_water,developed_open_space,developed_low_intensity,developed_med_intensity,developed_high_intensity,deciduous_forest,evergreen_forest,mixed_forest,grassland_pasture,woody_wetlands,herbaceous_wetlands,dbl_crop_winwht_corn,pumpkins,dbl_crop_winwht_sorghum,dbl_crop_winwht_cotton,dbl_crop_soybeans_oats,barley,spring_wheat,safflower,alfalfa,misc_vegs___fruits,onions,tomatoes,cherries,grapes,almonds,walnuts,pistachios,triticale,olives,oranges,peppers,pomegranates,plums,lettuce,sunflower,sweet_corn,speltz,sugarbeets,dry_beans,hops,peaches,other_tree_crops,asparagus,cabbage,camelina,potatoes,clover_wildflowers,citrus,cantaloupes,strawberries,squash,dbl_crop_corn_soybeans,blueberries,pop_or_orn_corn,herbs,dbl_crop_oats_corn,peas,christmas_trees,carrots,flaxseed,lentils,tobacco,switchgrass,rice,greens,nectarines,radishes,dbl_crop_barley_sorghum,dbl_crop_barley_corn,dbl_crop_barley_soybeans,buckwheat,vetch,sweet_potatoes,mustard,canola,cucumbers,dbl_crop_soybeans_cotton,mint,durum_wheat,other_small_grains,caneberries,pears,perennial_ice_snow_,garlic,honeydew_melons,broccoli,apricots,dbl_crop_lettuce_durum_wht,dbl_crop_lettuce_cantaloupe,dbl_crop_lettuce_cotton,cauliflower,celery,eggplants,sugarcane,gourds,turnips,cranberries,rape_seed,a__,forest,perennial_ice_snow,grass_pasture,a_,nonag_undefined,prunes,clouds_no_data,developed,water,chick_peas,dbl_crop_durum_wht_sorghum,dbl_crop_durum_wh,agg_water,agg_developed,agg_barren,agg_forestedupland,agg_shrubland,agg_grassland,agg_wetlands,percorn,percornpt,plantcorn,corn_bts,corn_bte,percornbt,percotton,percottonpt,plantcotton,cotton_bts,cotton_bte,persorghum,persorghumpt,plantsorghum,sorghum_bts,sorghum_bte,persoybean,persoybeanpt,plantsoy,soybean_bts,soybean_bte,percanola,percanolapt,plantcanola,perspringwht,perspringwhtpt,plantspringw,perwinwht,perwinwhtpt,plantwinwht,perbarley,perbarleypt,plantbarley,perrice,perricept,plantrice,perdeveloped,perbarren,perforests,pershrubland,pergrassland,perwetland,canola_bts,canola_bte,month1,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12,lnprecipm,lnprecipa,region1,region2,region3,region4,region5,region6,region7,percorn_bts,percorn_bte,percotton_bts,percotton_bte,persorghum_bts,persorghum_bte,persoybean_bts,persoybean_bte,agg_natural,pernatural,lnmites1,_year
AL 01-2010,22,85,216.69597,5.3784952,,0,Research,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,AL,2010,2,8/4/2010,32.283233,-86.0895,8,4.7511311,1.5583827,0.016666668,-4.0943446,,,,,,,,,,,,,,,,,,,,,,,,,1,1,8/3/1950,8/4/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3.0910425,4.4426513,0,1,0,0,0,0,0,,,,,,,,,,,1.7493966,2
AL 01-2011,19,28,234.19615,5.4561591,,0,Hobbiest,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,AL,2011,2,9/14/2011,32.99916,-85.39444,9,5.6985292,1.7402081,0.050000001,-2.9957323,-,0,-,0,+,1,-,0,-,0,,,-,0,0,,-,0,-,0,,,40th,Under30,1,1,9/13/1951,9/14/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.9444389,3.3322046,0,1,0,0,0,0,0,,,,,,,,,,,1.901888,3
AL 01-2012,12,51.999996,234.80261,5.458745,,0,Stationary,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AL,2012,2,10/24/2012,31.64761,-85.646606,10,9.0446987,2.2021787,0,,-,0,+,1,+,1,-,0,-,0,-,0,-,0,-,0,-,0,-,0,,Below 30th,50th,Below 30th,0,1,10/23/1952,10/24/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.4849067,3.9512436,0,1,0,0,0,0,0,,,,,,,,,,,2.307045,4
AL 02-2010,,,,,,1,,,,,,,,,,,,,0,0,0,0,0,0,AL,2010,2,8/5/2010,32.651683,-85.4244,8,3.0837004,1.1261303,0,,Y,1,,,Y,1,,,N,0,N,0,N,0,N,0,N,0,N,0,,,,,0,1,8/4/1950,8/5/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,,,0,1,0,0,0,0,0,,,,,,,,,,,1.4070035,2
AL 02-2011,,,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,AL,2011,2,9/15/2011,31.25888,-85.590271,9,7.0476189,1.9526899,0,,N/A,,N/A,,+,1,N/A,,N/A,,,,-,0,0,,N/A,,N/A,,,,N/A,N/A,0,1,9/14/1951,9/15/2011,32539500,54900,54900,1134900,2700,0,2433600,900,0,4500,900,900,846900,0,0,10800,667800,5484600,0,0,4500,0,69300,1419300,448200,88200,3600,3173400,6482700,420300,7399800,2381400,3600,0,0,900,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,69300,1959300,0,10076400,5484600,7399800,2385000,0.16871803,0,0,0,1,0.16871803,3.487761,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.002765869,0,0,0,0,0,0,0,0,6.021297,0,30.966671,16.855207,22.740976,7.3295531,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,1,0,0,0,0,0,0,0.16871803,0,3.487761,0,0,0,0,25345800,77.89241,2.0853763,3
AL 02-2012,13.623411,153.88295,242.92993,5.4927731,,0,Stationary,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AL,2012,2,9/19/2012,34.3105,-85.71994,9,7.2999396,1.987866,0,,-,0,+,1,+,1,-,0,-,0,-,0,-,0,-,0,-,0,+,1,,40th,70th,Below 30th,0,1,9/18/1952,9/19/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.6117897,5.0361924,0,1,0,0,0,0,0,,,,,,,,,,,2.1162481,4
AL 03-2010,,,,,,1,,,,,,,,,,,,,0,0,0,0,0,0,AL,2010,2,8/9/2010,31.29228,-85.371948,8,2.059659,0.7225405,0,,N,0,,,Y,1,,,N,0,N,0,N,0,N,0,N,0,N,0,,,,,0,1,8/8/1950,8/9/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,,,0,1,0,0,0,0,0,,,,,,,,,,,1.1183034,2
AL 03-2011,16,122.99999,236.80347,5.4672303,,0,Hobbiest,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,AL,2011,2,9/21/2011,32.54861,-85.984718,9,5.9415913,1.7819769,0,,-,0,+,1,+,1,-,0,+,1,,,-,0,-,0,-,0,-,0,,,90th,30th,0,1,9/20/1951,9/21/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.7725887,4.8121843,0,1,0,0,0,0,0,,,,,,,,,,,1.937531,3
AL 03-2012,16,143,244.14847,5.4977765,,0,Stationary,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AL,2012,2,9/19/2012,33.67065,-86.878082,9,12.475014,2.5237277,0,,-,0,+,1,+,1,-,0,-,0,-,0,-,0,-,0,-,0,+,1,,40th,Below 30,Below 30,0,1,9/18/1952,9/19/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.7725887,4.9628448,0,1,0,0,0,0,0,,,,,,,,,,,2.6008372,4
AL 03-2013,,,,,0,1,,,,,,,,,,,,,0,0,0,0,0,0,AL,2013,2,5/13/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/13/2014,32536800,13500,13500,900,0,0,3600,0,0,0,0,0,189900,2700,0,0,43200,2020500,900,0,0,0,24300,828900,5400,0,0,5252400,19326600,945000,1621800,2253600,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,24300,834300,900,25524000,2020500,1621800,2257200,0.041491479,0.041491479,1,1,0,0,0.002766099,0.002766099,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,2.5641735,0.002766099,78.446556,6.2098918,4.9845099,6.9373755,0,0,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0.041491479,0,0,0,0,0,0,0,31423500,96.578339,,5
