"sampleid","y","x","sunflower","month","year","nosema","mites","state","totalarea","average_mintemp","average_precip","month8","month9","colonysize","sf_2mile_percent","sf_2mile_acres"
"TN 13-2010",35.49336,-86.48185,0,9,2010,0,8.5953875,"TN",32463284.3789062,14,29,0,1,NA,0,0
"MI 13-2010",43.63423,-82.736313,0,10,2010,0.016666668,0.47923324,"MI",32458457.2304688,10,112.77913,0,0,NA,0,0
"MI 16-2010",42.77483,-85.016609,0,8,2010,0.016666668,3.2051282,"MI",32453556.4101562,16,32,1,0,NA,0,0
"TX 19-2010",30.70161,-96.305794,0,10,2010,0,4.8442907,"TX",32466689.828125,12,2,0,0,NA,0,0
"MI 11-2010",43.73913,-85.543404,0,8,2010,0.033333331,0.33444816,"MI",32487234.8203125,14,65,1,0,NA,0,0
"TX 22-2010",31.45957,-96.069344,0,12,2010,0,0.34674063,"TX",32460363,8,39,0,0,NA,0,0
"TX 17-2010",30.45404,-94.016899,0,10,2010,0,0.41237113,"TX",32461590.3725586,20,70.631828,0,0,NA,0,0
"MI 19-2010",42.69989,-83.458397,0,9,2010,0,6.3763609,"MI",32456505.8945312,10,99,0,1,NA,0,0
"TN 06-2010",36.25601,-85.228508,0,9,2010,0,0.6702413,"TN",32459226.8203125,19,214,0,1,NA,0,0
"MI 12-2010",43.37767,-84.180206,0,9,2010,0,7.2289157,"MI",32460065.0761719,9,79.306679,0,1,NA,0,0
"PA 18-2010",40.29685,-75.160461,0,9,2010,0,9.3184977,"PA",32454620.859375,13,62.074936,0,1,NA,0,0
"PA 22-2010",41.34994,-80.208061,0,9,2010,0,2.7131784,"PA",32461004.71875,10,70.369812,0,1,NA,0,0
"AL 20-2010",34.2696,-87.590477,1800,9,2010,0.016666668,10.056772,"AL",32458412.6484375,22,132.59412,0,1,NA,5.54555769407488e-05,0.444789293427497
"SD 23-2010",44.61726,-103.34288,62100,10,2010,0,8.4919472,"SD",32460515.9663086,2.1095581,22.185991,0,0,NA,0.00191309343525084,15.3452306232486
"PA 16-2010",40.78746,-78.025429,0,9,2010,0,13.88102,"PA",32459100.6210938,15,77.254135,0,1,NA,0,0
"MI 04-2010",44.75337,-85.827057,0,8,2010,0.06666667,3.8053098,"MI",32465882.4831543,16.637867,76,1,0,NA,0,0
"TN 05-2010",36.19121,-89.495132,0,10,2010,0.033333331,3.8796515,"TN",32465471.4350586,7,26.600729,0,0,NA,0,0
"NY 24-2010",44.06015,-76.096123,0,7,2010,0.033333331,0.76335877,"NY",32324568.2441406,16,108.99999,0,0,NA,0,0
"TN 03-2010",35.39076,-84.836479,0,6,2010,0,0.93167704,"TN",32457322.9628906,19,77.067642,0,0,NA,0,0
"MI 24-2010",42.34114,-83.090599,0,9,2010,0,7.9899998,"MI",32380584.1914062,12,82.928322,0,1,NA,0,0
"MI 25-2010",42.88073,-85.935593,0,8,2010,0,1.0802469,"MI",32461912.1210938,15.98978,42.000004,1,0,NA,0,0
"TX 16-2010",29.00707,-98.890099,0,9,2010,0,1.3043479,"TX",32460028.8710938,21,173.20917,0,1,NA,0,0
"SD 20-2010",43.53838,-98.128891,4500,10,2010,0.033333331,0,"SD",32460830.6875,10,96.576233,0,0,NA,0.000138628615001305,1.11197323356874
"NY 10-2010",43.7638,-76.035797,0,8,2010,0.050000001,9.2409239,"NY",32456108.4453125,15.881378,126,1,0,NA,0,0
"MI 02-2010",43.21553,-82.559227,0,9,2010,0,16.071428,"MI",32383245.6796875,11,118.92946,0,1,NA,0,0
"MI 03-2010",43.34306,-84.111076,900,9,2010,0,5.7831326,"MI",32458457.2226562,9,79.794067,0,1,NA,2.77277503926401e-05,0.222394646713748
"IN 20-2010",39.87177,-86.901237,0,9,2010,0.016666668,7.7685952,"IN",32457550.84375,17,23.3776,0,1,NA,0,0
"NY 04-2010",43.19371,-76.909264,6300,7,2010,0.30000001,0.073421441,"NY",32373461.0957031,17,121.6655,0,0,NA,0.000194603844839939,1.55676252699624
"NY 09-2010",43.88263,-73.42173,1800,7,2010,0.083333336,0.37792894,"NY",32453707.097168,12.725266,105.88713,0,0,NA,5.54636175956945e-05,0.444789293427497
"NY 06-2010",44.96345,-74.79435,0,8,2010,0,8.1804285,"NY",28031701.078125,16,82.948715,1,0,NA,0,0
"MI 21-2010",43.53673,-82.658577,0,10,2010,0,10.27,"MI",32494974.0488281,10,116,0,0,NA,0,0
"AL 15-2010",30.43005,-87.570511,1800,9,2010,0,1.0012516,"AL",32461937.890625,24,325.85516,0,1,NA,5.54495546773823e-05,0.444789293427497
"MI 17-2010",43.91748,-84.769768,0,9,2010,0,28.790001,"MI",32459099.4179688,7.9778156,77.265877,0,1,NA,0,0
"SD 09-2010",44.69309,-97.95256,0,9,2010,0,0.33755276,"SD",32468594.1289062,16.960844,54,0,1,NA,0,0
"TX 21-2010",33.04304,-96.431908,0,12,2010,0,12.386511,"TX",32456864.515625,7,84,0,0,NA,0,0
"TN 04-2010",35.98001,-83.02153,0,5,2010,0,0.19607843,"TN",32456562.4541016,12.292231,79.612961,0,0,NA,0,0
"TX 20-2010",33.0397,-96.316902,3600,12,2010,0.033333331,1.1184211,"TX",32464354.265625,7,85.315285,0,0,NA,0.000110890854952623,0.889578586854994
"PA 13-2010",39.84711,-76.734558,900,8,2010,0,3.7305698,"PA",32463294.8095703,18,91.702591,1,0,NA,2.77236184829482e-05,0.222394646713748
"NY 02-2010",44.25456,-75.499779,0,7,2010,0.2,2.9968455,"NY",32451012.2539062,15,114.13306,0,0,NA,0,0
"NY 01-2010",43.11515,-76.62973,0,7,2010,0.083333336,0.5279035,"NY",32460990.3125,16,118.00001,0,0,NA,0,0
"PA 24-2010",40.25684,-77.285423,0,10,2010,0,17.75701,"PA",32452837.9609375,5.7552032,131.51825,0,0,NA,0,0
"PA 25-2010",39.94842,-78.485909,0,10,2010,0,1.2907609,"PA",32457378.3515625,4,107,0,0,NA,0,0
"TN 15-2010",35.17841,-89.248657,0,10,2010,0,22.707424,"TN",32459057.9375,7,36,0,0,NA,0,0
"SD 03-2010",45.52554,-99.991608,1295034.25,8,2010,0,0.80142474,"SD",32459827.4765625,15,30.36026,1,0,NA,0.0398965228923375,320.009649456616
"NY 22-2010",44.20674,-76.037933,0,8,2010,0.16666667,1.1838989,"NY",32457669.1992188,16,117.39102,1,0,NA,0,0
"SD 14-2010",43.12914,-98.382332,0,9,2010,0,15.98579,"SD",32460459.0830078,9,118.48895,0,1,NA,0,0
"TN 12-2010",35.34426,-89.625053,0,5,2010,0,0.93457943,"TN",32460401.9570312,10.283237,100.20629,0,0,NA,0,0
"SD 22-2010",45.03481,-102.10179,0,10,2010,0.016666668,0.64777327,"SD",32458201.1796875,3,15.691937,0,0,NA,0,0
"SD 25-2010",44.05046,-103.165,9900,10,2010,0,3.7288136,"SD",32460532.03125,4,13.315766,0,0,NA,0.000304985759027893,2.44634111385123
"TN 09-2010",36.58665,-82.765053,0,9,2010,0.050000001,13.632718,"TN",19456837.4150391,12.278749,76.496452,0,1,NA,0,0
"TN 11-2010",36.29298,-88.665581,900,6,2010,0,0.78636962,"TN",32459080.9824219,15,284.21292,0,0,NA,2.77272175539225e-05,0.222394646713748
"PA 20-2010",40.17029,-79.777946,0,9,2010,0,1.1695906,"PA",32461809.7890625,11,71.508636,0,1,NA,0,0
"PA 17-2010",40.09276,-75.226669,0,9,2010,0,2.0408163,"PA",32461657.703125,15,58.190853,0,1,NA,0,0
"MI 14-2010",43.53637,-82.658852,0,10,2010,0,4.7619047,"MI",32495062.2617188,10,116,0,0,NA,0,0
"TN 25-2010",36.43773,-81.7565,0,9,2010,0,21.033545,"TN",32460544.0800781,10.082264,71.3582,0,1,NA,0,0
"NY 19-2010",43.39608,-73.421173,0,7,2010,0.06666667,0.37792894,"NY",32463787.6152344,12.418623,116.52868,0,0,NA,0,0
"TX 11-2010",28.82385,-99.185226,0,9,2010,0,4.0915394,"TX",32457726.4892578,21,121.32195,0,1,NA,0,0
"TX 13-2010",29.04463,-98.992233,900,9,2010,0,1.9256308,"TX",32495022.4267578,21,160.4615,0,1,NA,2.76965495878194e-05,0.222394646713748
"PA 23-2010",40.66224,-80.194069,0,10,2010,0,5.8631921,"PA",32461202.4257812,11.844032,65.638512,0,0,NA,0,0
"TX 15-2010",29.01439,-99.10746,900,9,2010,0.033333331,3.1114953,"TX",32461283.3398438,21,131,0,1,NA,2.77253363823518e-05,0.222394646713748
"TX 12-2010",29.04791,-98.982635,900,9,2010,0,4.9694858,"TX",32495540.2236328,21,161.14615,0,1,NA,2.76961082599717e-05,0.222394646713748
"SD 11-2010",44.3743,-98.310913,0,9,2010,0.050000001,0.64205456,"SD",32457261.3417969,9,104.01105,0,1,NA,0,0
"IN 14-2010",38.87843,-87.454102,0,7,2010,0.016666668,0.07558579,"IN",32463462.5,20,137,0,0,NA,0,0
