"sampleid","x","y","month","year"
"IL 10-2013",-88.52295,39.58138,8,2013
"TX 07-2013",-97.2682,30.97121,10,2013
"VA 12-2012",-78.654404,36.68,10,2012
"IL 23-2013",-88.602905,38.629826,9,2013
"IN 10-2012",-86.489449,39.86488,8,2012
"SC 05-2013",-80.67216,34.25362,4,2014
"HI 21-2012",-159.51358,21.91514,3,2013
"TX 04-2012",-96.801422,30.81543,10,2012
"IN 15-2013",-86.312477,39.549562,8,2013
"CA 06-2013",-116.96105,33.08327,11,2013
"SD 05-2011",-100.54326,44.69499,9,2011
"AL 23-2011",-86.233391,33.23344,10,2011
"SC 18-2012",-82.323189,34.67369,7,2013
"LA 07-2012",-89.883415,30.53356,10,2012
"MD 02-2012",-76.845551,39.46447,9,2012
"FL 23-2012",-87.298218,30.43219,10,2012
"WI 21-2013",-88.37782,42.58118,9,2013
"WI 03-2012",-87.714897,43.75671,9,2012
"PA 04-2013",-76.73976,39.86179,9,2013
"MI 09-2012",-86.164886,42.8108,9,2012
"OR 19-2013",-123.2365,43.851953,9,2013
"MI 14-2012",-85.197502,42.85737,10,2012
"MI 20-2013",-85.19697,42.8576,10,2013
"WI 20-2012",-90.385582,43.33691,10,2012
"WV 07-2013",-80.77518,39.29491,7,2013
"IA 16-2012",-93.713097,41.4925,6,2013
"MN 13-2012",-96.266449,47.76061,6,2013
"MN 18-2013",-95.028031,46.169964,6,2014
"AL 10-2011",-85.266838,31.0335,10,2011
"PR 19-2013",-66.8226,18.3348357,4,2014
"OH 24-2012",-83.519096,41.1564,7,2013
"ND 02-2012",-100.03865,48.41329,7,2012
"NY 20-2011",-99.323051,47.26611,8,2011
"UT 19-2013",-112.60658,39.38546,9,2013
"ND 20-2013",-101.00573,46.70447,7,2013
"ND 22-2013",-97.766801,47.950143,7,2013
"IN 12-2013",-86.39174,41.5919986,8,2013
"NJ 17-2013",-74.89497,40.43103,9,2013
"NJ 24-2012",-74.307968,39.77205,9,2012
"ND 09-2012",-98.874977,48.30481,6,2012
"CA 34-2012",-116.96105,33.08327,11,2012
"CA 03-2011",-119.34863,36.21076,11,2011
"NY 17-2012",-78.889908,42.32523,7,2012
"PA 10-2012",-75.819283,40.55831,6,2013
"NY 18-2011",-97.028336,47.93416,8,2011
"ND 10-2013",-97.566765,48.966913,7,2013
"GA 04-2013",-82.21712,31.62994,8,2013
"CO 03-2011",-104.64187,38.57055,10,2011
"OH 10-2012",-82.865288,40.39558,7,2013
"MN 2-2012",-93.1987,44.41464,6,2013
"OK 05-2012",-97.280457,35.57016,8,2012
"OK 10-2012",-95.116325,33.96156,4,2013
"IA 18-2012",-93.08577,41.29869,6,2013
"IA 19-2012",-92.629211,41.23117,6,2013
"CO 06-2011",-107.68156,39.53131,10,2011
"IN 22-2011",-95.226799,42.15005,10,2011
"NY 10-2012",-75.927681,44.17786,7,2012
"PR 13-2013",-65.9907433,18.254391,5,2014
"AL 16-2012",-85.369942,32.67616,10,2012
"GA 22-2013",-81.99093,32.24254,10,2013
"PR 23-2013",-66.49,18.20756,5,2014
"TX 05-2011",-96.306541,33.25141,9,2011
"SC 07-2013",-80.03518,33.92872,4,2014
"MD 07-2013",-76.70844,39.70258,4,2014
"AL 03-2013",-86.90719,31.65046,5,2014
"IA 15-2012",-92.688553,41.22813,6,2013
"MI 21-2012",-86.250427,41.99003,10,2012
"WI 16-2012",-89.131401,42.8005,10,2012
"TN 01-2011",-82.645378,36.41223,9,2011
"CA 02-2013",-117.13591093,33.1148618,11,2013
"WI 05-2013",-88.31207,42.93134,9,2013
"TN 12-2012",-84.138969,35.66655,6,2013
"MN 9-2012",-94.55043,47.74293,6,2013
"TN 25-2011",-85.660912,36.17413,8,2011
"TX 01-2013",-97.6982272,30.2097015,9,2013
"TX 03-2012",-95.315193,29.78534,9,2012
"TX 05-2012",-97.224136,31.01926,10,2012
"NJ 01-2013",-74.60309,39.50341,8,2013
"AL 12-2013",-87.67256,30.36959,7,2014
"CA 28-2013",-122.016719,40.50023,4,2014
"TX 07-2011",-97.397255,31.12797,10,2011
"VA 03-2013",-77.54553,38.5065,5,2014
"SC 19-2012",-81.054466,32.98851,6,2013
"VA 05-2013",-77.4381,37.2259,9,2013
"VA 06-2012",-79.468201,37.2237,9,2012
"CA 06-2011",-117.00424,33.469,11,2011
"CO 12-2011",-107.64054,39.52642,10,2011
"VA 13-2012",-76.4366,35.70701,8,2012
"VA 17-2012",-77.438103,37.2259,8,2012
"PR 24-2013",-66.28634,18.223632,5,2014
"IN 06-2011",-91.129898,42.77639,9,2011
"WI 04-2011",-78.602669,39.42838,9,2011
"WI 06-2011",-78.542877,39.13816,9,2011
"OH 22-2012",-83.129601,39.6525,7,2013
"WI 08-2011",-80.730324,39.90624,9,2011
"IA 21-2012",-93.729729,41.50027,6,2013
"WV 10-2013",-79.85605,39.19702,8,2013
"CO 11-2011",-107.8726,38.42244,10,2011
"WV 19-2013",-80.86423,37.79961,8,2013
"AL 17-2013",-85.87134,34.02777,9,2013
"CA 01-2012",-122.5742,39.37223,1,2013
"CA 47-2012",-122.00368,39.70852,3,2013
"CA 01-2013",-117.228279,33.2129,11,2013
"NY 19-2012",-74.236954,41.52927,7,2012
"AR 20-2012",-92.012947,34.66691,10,2012
"AL 15-2013",-86.53727,34.86659,10,2013
"HI 09-2012",-155.10243,19.243,1,2013
"HI 10-2012",-156.94936,20.79772,1,2013
"MD 13-2012",-76.815132,38.08853,4,2013
"MA 20-2012",-71.353409,42.24151,10,2012
"MI 23-2013",-83.97559,43.18089,9,2013
"CA 15-2013",-122.383438,40.300044,4,2014
"PA 08-2013",-76.17163,40.61471,9,2013
"VA 23-2012",-77.844803,37.5124,8,2012
"TN 22-2011",-86.03801,36.62451,9,2011
"TX 06-2011",-97.317223,31.1441,10,2011
"SC 15-2012",-79.222969,33.88078,3,2013
"MD 05-2013",-76.08148,38.7276,10,2013
"WV 14-2012",-79.897423,39.21698,10,2012
"PR 18-2013",-66.03273,18.299597,5,2014
"IL 17-2013",-90.241775,38.986797,8,2013
"MD 21-2013",-76.44083,39.45416,5,2014
"CO 13-2011",-104.39984,38.22364,10,2011
"CA 23-2012",-122.0199,44.51371,2,2013
"IL 12-2013",-87.57036,39.2924,8,2013
"NY 09-2013",-77.97835,43.326702,7,2013
"TN 24-2012",-85.415543,35.81891,5,2013
"IN 05-2011",-91.352707,42.77732,8,2011
"TN 07-2012",-89.423912,35.26872,5,2013
"CO 07-2011",-103.08096,39.35919,9,2011
"OK 02-2012",-99.980087,36.9408,10,2012
"SD 11-2012",-98.260483,43.67644,10,2012
"SC 12-2012",-81.147186,33.98338,8,2013
"PA 22-2013",-80.168248,41.6144,8,2013
"MN 3-2012",-93.957481,44.43004,6,2013
"SC 02-2013",-79.66349,34.1294,3,2014
"TN 06-2011",-84.421249,35.07123,9,2011
