"sampleid","y","x"
"AL 01-2010","32.283233",-86.0895
"AL 02-2010","32.651683",-85.4244
"AL 03-2010","31.29228",-85.371948
"AL 04-2010","31.39516",-85.945648
"AL 05-2010","31.41665",-87.351196
"AL 06-2010","31.87013",-85.203407
"AL 07-2010","31.48335",-86.564011
"AL 08-2010","31.41473",-88.419899
"AL 09-2010","31.92823",-85.630333
"AL 10-2010","34.14598",-85.910912
"AL 11-2010","34.09936",-85.765831
"AL 12-2010","33.04105",-86.039207
"AL 13-2010","33.69945",-86.657028
"AL 14-2010","30.78827",-88.11396
"AL 15-2010","30.43005",-87.570511
"AL 16-2010","33.7634",-85.839081
"AL 17-2010","33.31113",-87.972847
"AL 18-2010","34.8503",-86.476929
"AL 19-2010","33.96715",-87.232002
"AL 20-2010","34.2696",-87.590477
"AL 21-2010","33.90933",-86.339478
"AL 22-2010","34.71331",-87.63813
"AL 23-2010","33.31211",-87.974327
"AL 24-2010","33.1548",-87.615059
"AL 25-2010","34.67778",-86.815971
"GA 01-2010","32.2223",-82.469704
"GA 02-2010","32.0629",-82.538063
"GA 03-2010","31.99956",-83.186249
"GA 04-2010","31.1829",-83.388947
"GA 05-2010","31.09815",-82.585854
"GA 06-2010","31.7114",-82.251999
"GA 07-2010","31.02835",-83.794716
"GA 08-2010","31.67735",-83.192635
"GA 09-2010","31.62882",-81.887032
"GA 10-2010","31.61458",-82.877632
"GA 11-2010","31.62451",-83.20826
"GA 12-2010","31.16805",-81.88076
"GA 13-2010","31.05595",-83.808731
"GA 14-2010","31.62816",-83.172081
"GA 15-2010","31.97943",-81.922218
"GA 16-2010","31.17191",-83.352898
"GA 17-2010","30.9309",-83.0093
"GA 18-2010","31.53282",-81.847153
"GA 19-2010","31.52762",-82.787003
"GA 20-2010","31.08717",-83.624016
"GA 21-2010","31.530183",-83.336433
"GA 22-2010","32.15735",-82.596489
"GA 23-2010","31.37841",-83.040779
"GA 24-2010","31.60183",-83.039017
"GA 25-2010","32.10039",-81.907761
"HI 02-2010","19.22827",-155.47913
"HI 03-2010","20.7767",-156.30251
"HI 05-2010","19.0491",-155.66714
"HI 06-2010","20.9313",-156.31766
"HI 17-2010","19.22827",-155.47913
"HI 26-2010","21.91507",-159.55983
"HI 27-2010","21.95074",-159.39267
"IN 01-2010","40.6667",-85.70829
"IN 02-2010","41.73347",-86.078491
"IN 03-2010","41.50554",-86.399368
"IN 04-2010","39.851072",-86.485489
"IN 05-2010","39.73449",-86.485527
"IN 06-2010","40.13366",-85.901451
"IN 07-2010","40.15025",-86.102661
"IN 08-2010","40.91855",-85.11702
"IN 09-2010","41.31911",-85.000282
"IN 10-2010","38.77812",-86.147568
"IN 11-2010","38.8555",-86.240997
"IN 12-2010","38.76725",-86.135643
"IN 13-2010","39.43168",-86.448471
"IN 14-2010","38.87843",-87.454102
"IN 15-2010","39.19751",-85.108231
"IN 16-2010","39.12079",-85.092117
"IN 17-2010","39.00126",-84.983299
"IN 18-2010","40.50356",-86.01136
"IN 19-2010","38.27037",-85.99968
"IN 20-2010","39.87177",-86.901237
"IN 21-2010","39.99708",-86.909248
"IN 22-2010","39.5274",-85.913803
"IN 23-2010","40.81419",-85.387657
"IN 24-2010","40.82185",-85.431732
"IN 25-2010","38.56681",-86.365707
"MI 01-2010","43.77293",-84.875313
"MI 02-2010","43.21553",-82.559227
"MI 03-2010","43.34306",-84.111076
"MI 04-2010","44.75337",-85.827057
"MI 05-2010","43.75713",-85.518494
"MI 06-2010","42.02016",-86.15583
"MI 07-2010","45.01343",-85.612968
"MI 08-2010","42.03024",-86.19429
"MI 09-2010","43.37463",-83.13485
"MI 10-2010","42.06993",-86.225166
"MI 11-2010","43.73913",-85.543404
"MI 12-2010","43.37767",-84.180206
"MI 13-2010","43.63423",-82.736313
"MI 14-2010","43.53637",-82.658852
"MI 15-2010","43.63423",-82.736313
"MI 16-2010","42.77483",-85.016609
"MI 17-2010","43.91748",-84.769768
"MI 18-2010","43.74179",-85.705276
"MI 19-2010","42.69989",-83.458397
"MI 20-2010","43.5952",-83.203873
"MI 21-2010","43.53673",-82.658577
"MI 22-2010","42.94535",-84.106247
"MI 23-2010","42.19323",-85.108421
"MI 24-2010","42.34114",-83.090599
"MI 25-2010","42.88073",-85.935593
"NY 01-2010","43.11515",-76.62973
"NY 02-2010","44.25456",-75.499779
"NY 03-2010","42.20966",-79.466103
"NY 04-2010","43.19371",-76.909264
"NY 05-2010","43.0337",-78.064903
"NY 06-2010","44.96345",-74.79435
"NY 07-2010","43.19262",-74.971489
"NY 08-2010","42.85345",-78.009903
"NY 09-2010","43.88263",-73.42173
"NY 10-2010","43.7638",-76.035797
"NY 11-2010","43.32566",-76.644623
"NY 12-2010","44.22556",-75.578949
"NY 13-2010","43.01024",-78.422623
"NY 14-2010","43.0775",-77.984398
"NY 15-2010","42.4536",-78.748703
"NY 16-2010","44.85939",-74.653091
"NY 17-2010","42.9498",-77.276642
"NY 18-2010","43.01677",-74.781372
