OBJECTID,Join_Count,TARGET_FID,uid,sampleid,y,x,bee_geocod,bee_geoc_1,bee_geoc_2,bee_geoc_3,pointid,grid_code,Shape_Leng,Shape_Area
1,1,1,0,PA 10-2010,39.77030000000,-77.76742000000,-77.76741800000,39.77030000000,8,2010,19902,6,43339.36448390000,144044039.22600000000
2,0,2,1,PA 20-2010,40.17029000000,-79.77795000000,-79.77794600000,40.17029000000,9,2010,0,0,43238.85839330000,143216808.77000000000
3,0,3,2,PA 23-2010,40.66224000000,-80.19407000000,-80.19406900000,40.66224000000,10,2010,0,0,43113.56961600000,142189656.26900000000
4,0,4,3,PA 25-2010,39.94842000000,-78.48591000000,-78.48590900000,39.94842000000,10,2010,0,0,43294.75723770000,143676543.90600000000
5,0,5,142,IN 14-2010,38.87843000000,-87.45410000000,-87.45410200000,38.87843000000,7,2010,0,0,43559.18659440000,145862791.36200000000
6,0,6,320,WA 23-2010,48.01595000000,-117.27606000000,-117.27606000000,48.01595000000,11,2010,0,0,40988.09125100000,125602705.62100000000
7,2,7,372,NY 09-2010,43.88263000000,-73.42173000000,-73.42173000000,43.88263000000,7,2010,1,6,42244.64356920000,135205213.35100000000
8,1,8,373,NY 19-2010,43.39608000000,-73.42117000000,-73.42117300000,43.39608000000,7,2010,8301,6,42381.63826050000,136289014.97700000000
9,0,9,425,PA 17-2010,40.09276000000,-75.22667000000,-75.22666900000,40.09276000000,9,2010,0,0,43258.43378130000,143377704.67400000000
10,0,10,426,PA 18-2010,40.29685000000,-75.16046000000,-75.16046100000,40.29685000000,9,2010,0,0,43206.80412930000,142953583.34100000000
11,0,11,496,SD 10-2010,42.90626000000,-96.71164000000,-96.71163900000,42.90626000000,9,2010,0,0,42517.42545650000,137369948.63700000000
12,0,12,531,NY 03-2010,42.20966000000,-79.46610000000,-79.46610300000,42.20966000000,9,2010,0,0,42706.95165930000,138889480.38700000000
13,0,13,532,PA 01-2010,41.02800000000,-76.78998000000,-76.78997800000,41.02800000000,5,2010,0,0,43019.19670720000,141419054.14500000000
14,0,14,533,PA 03-2010,41.66136000000,-76.79643000000,-76.79643200000,41.66136000000,6,2010,0,0,42853.25509080000,140070785.06400000000
15,0,15,534,PA 04-2010,40.48568000000,-76.89947000000,-76.89946700000,40.48568000000,6,2010,0,0,43158.75041190000,142559530.20900000000
16,0,16,535,PA 05-2010,40.25014000000,-76.76709000000,-76.76709000000,40.25014000000,6,2010,0,0,43218.64884650000,143050816.20800000000
17,0,17,536,PA 06-2010,39.98893000000,-75.82343000000,-75.82343300000,39.98893000000,6,2010,0,0,43284.57862740000,143592765.45000000000
18,0,18,537,PA 07-2010,40.91609000000,-77.70898000000,-77.70897700000,40.91609000000,6,2010,0,0,43048.18350550000,141655456.68800000000
19,0,19,538,PA 08-2010,40.82186000000,-77.85939000000,-77.85939000000,40.82186000000,7,2010,0,0,43072.51411170000,141854084.73300000000
20,0,20,539,PA 09-2010,40.57287000000,-76.79383000000,-76.79383100000,40.57287000000,7,2010,0,0,43136.46911770000,142377048.14700000000
21,0,21,540,PA 11-2010,40.31561000000,-76.89390000000,-76.89389800000,40.31561000000,8,2010,0,0,43202.04247080000,142914506.36200000000
22,0,22,541,PA 12-2010,40.61322000000,-76.20919000000,-76.20919000000,40.61322000000,8,2010,0,0,43126.13775680000,142292485.07500000000
23,1,23,542,PA 13-2010,39.84711000000,-76.73456000000,-76.73455800000,39.84711000000,8,2010,19901,6,43320.15787200000,143885738.84100000000
24,0,24,543,PA 14-2010,40.26798000000,-76.70096000000,-76.70095800000,40.26798000000,9,2010,0,0,43214.12699460000,143013691.59900000000
25,0,25,544,PA 15-2010,40.20311000000,-77.32845000000,-77.32845300000,40.20311000000,9,2010,0,0,43230.55762810000,143148615.85500000000
26,0,26,545,PA 16-2010,40.78746000000,-78.02543000000,-78.02542900000,40.78746000000,9,2010,0,0,43081.37895820000,141926499.12800000000
27,0,27,546,PA 19-2010,41.31698000000,-77.09016000000,-77.09015700000,41.31698000000,9,2010,0,0,42943.88429860000,140806062.06700000000
28,0,28,547,PA 21-2010,41.76845000000,-80.43129000000,-80.43129000000,41.76845000000,9,2010,0,0,42824.87566980000,139841087.55200000000
29,0,29,548,PA 22-2010,41.34994000000,-80.20806000000,-80.20806100000,41.34994000000,9,2010,0,0,42935.25207970000,140735915.26500000000
30,0,30,549,PA 24-2010,40.25684000000,-77.28542000000,-77.28542300000,40.25684000000,10,2010,0,0,43216.95083159990,143036874.90400000000
31,0,31,598,AL 02-2010,32.65168000000,-85.42440000000,-85.42440000000,32.65168300000,8,2010,0,0,44946.26768190000,157540541.56200000000
32,0,32,599,AL 03-2010,31.29228000000,-85.37195000000,-85.37194800000,31.29228000000,8,2010,0,0,45218.60123160000,159845457.00800000000
33,0,33,600,AL 06-2010,31.87013000000,-85.20341000000,-85.20340700000,31.87013000000,8,2010,0,0,45104.05171400000,158876645.11600000000
34,0,34,601,AL 09-2010,31.92823000000,-85.63033000000,-85.63033300000,31.92823000000,8,2010,0,0,45092.43604770000,158778338.24300000000
35,11,35,602,GA 01-2010,32.22230000000,-82.46970000000,-82.46970400000,32.22230000000,6,2010,19988,6,45033.36449080000,158278248.40600000000
36,0,36,603,GA 02-2010,32.06290000000,-82.53806000000,-82.53806300000,32.06290000000,6,2010,0,0,45065.44180550000,158549839.35300000000
37,0,37,604,GA 03-2010,31.99956000000,-83.18625000000,-83.18624900000,31.99956000000,6,2010,0,0,45078.15024650000,158657419.51200000000
38,1,38,605,GA 04-2010,31.18290000000,-83.38895000000,-83.38894700000,31.18290000000,8,2010,20025,6,45240.08576100000,160027009.29900000000
39,0,39,606,GA 05-2010,31.09815000000,-82.58585000000,-82.58585400000,31.09815000000,8,2010,0,0,45256.68957760000,160167278.97900000000
40,0,40,607,GA 06-2010,31.71140000000,-82.25200000000,-82.25199900000,31.71140000000,6,2010,0,0,45135.69363900000,159144384.60600000000
41,2,41,608,GA 07-2010,31.02835000000,-83.79472000000,-83.79471600000,31.02835000000,8,2010,20032,6,45270.33649560000,160282542.08300000000
42,0,42,609,GA 08-2010,31.67735000000,-83.19263000000,-83.19263500000,31.67735000000,7,2010,0,0,45142.46397710000,159201660.48600000000
43,0,43,610,GA 09-2010,31.62882000000,-81.88703000000,-81.88703200000,31.62882000000,7,2010,0,0,45152.10259170000,159283194.56900000000
44,2,44,611,GA 10-2010,31.61458000000,-82.87763000000,-82.87763200000,31.61458000000,7,2010,20010,6,45154.92854810000,159307097.78800000000
45,1,45,612,GA 11-2010,31.62451000000,-83.20826000000,-83.20826000000,31.62451000000,8,2010,20009,6,45152.95813130000,159290431.09600000000
46,0,46,613,GA 12-2010,31.16805000000,-81.88076000000,-81.88076000000,31.16805000000,7,2010,0,0,45242.99774270000,160051612.34900000000
47,2,47,614,GA 13-2010,31.05595000000,-83.80873000000,-83.80873100000,31.05595000000,8,2010,20032,6,45264.94337250000,160236994.01500000000
48,1,48,615,GA 14-2010,31.62816000000,-83.17208000000,-83.17208100000,31.62816000000,8,2010,20009,6,45152.23371720000,159284303.64800000000
49,1,49,616,GA 15-2010,31.97943000000,-81.92222000000,-81.92221800000,31.97943000000,6,2010,20008,6,45082.18440610000,158691567.42900000000
