OBJECTID,Join_Count,TARGET_FID,pointid,grid_code,uid,sampleid,y,x,bee_geocod,bee_geoc_1,bee_geoc_2,bee_geoc_3
1,1,1,1,6,1082,SD 04-2010,45.53315000000,-100.18729000000,-100.18729000000,45.53315000000,8,2010
2,1,2,2,6,1082,SD 04-2010,45.53315000000,-100.18729000000,-100.18729000000,45.53315000000,8,2010
3,1,3,3,6,1082,SD 04-2010,45.53315000000,-100.18729000000,-100.18729000000,45.53315000000,8,2010
4,1,4,4,6,1082,SD 04-2010,45.53315000000,-100.18729000000,-100.18729000000,45.53315000000,8,2010
5,1,5,5,6,1082,SD 04-2010,45.53315000000,-100.18729000000,-100.18729000000,45.53315000000,8,2010
6,1,6,6,6,1082,SD 04-2010,45.53315000000,-100.18729000000,-100.18729000000,45.53315000000,8,2010
7,1,7,7,6,1082,SD 04-2010,45.53315000000,-100.18729000000,-100.18729000000,45.53315000000,8,2010
8,1,8,8,6,1082,SD 04-2010,45.53315000000,-100.18729000000,-100.18729000000,45.53315000000,8,2010
9,1,9,9,6,1082,SD 04-2010,45.53315000000,-100.18729000000,-100.18729000000,45.53315000000,8,2010
10,1,10,10,6,1082,SD 04-2010,45.53315000000,-100.18729000000,-100.18729000000,45.53315000000,8,2010
11,1,11,11,6,1082,SD 04-2010,45.53315000000,-100.18729000000,-100.18729000000,45.53315000000,8,2010
12,1,12,12,6,1082,SD 04-2010,45.53315000000,-100.18729000000,-100.18729000000,45.53315000000,8,2010
13,1,13,13,6,1082,SD 04-2010,45.53315000000,-100.18729000000,-100.18729000000,45.53315000000,8,2010
14,1,14,14,6,1082,SD 04-2010,45.53315000000,-100.18729000000,-100.18729000000,45.53315000000,8,2010
15,1,15,15,6,1082,SD 04-2010,45.53315000000,-100.18729000000,-100.18729000000,45.53315000000,8,2010
16,1,16,16,6,1082,SD 04-2010,45.53315000000,-100.18729000000,-100.18729000000,45.53315000000,8,2010
17,1,17,17,6,1082,SD 04-2010,45.53315000000,-100.18729000000,-100.18729000000,45.53315000000,8,2010
18,1,18,18,6,1082,SD 04-2010,45.53315000000,-100.18729000000,-100.18729000000,45.53315000000,8,2010
19,1,19,19,6,1082,SD 04-2010,45.53315000000,-100.18729000000,-100.18729000000,45.53315000000,8,2010
20,1,20,20,6,1082,SD 04-2010,45.53315000000,-100.18729000000,-100.18729000000,45.53315000000,8,2010
21,1,21,21,6,1082,SD 04-2010,45.53315000000,-100.18729000000,-100.18729000000,45.53315000000,8,2010
22,1,22,22,6,1082,SD 04-2010,45.53315000000,-100.18729000000,-100.18729000000,45.53315000000,8,2010
23,1,23,23,6,1082,SD 04-2010,45.53315000000,-100.18729000000,-100.18729000000,45.53315000000,8,2010
24,1,24,24,6,1082,SD 04-2010,45.53315000000,-100.18729000000,-100.18729000000,45.53315000000,8,2010
25,1,25,25,6,1081,SD 03-2010,45.52554000000,-99.99161000000,-99.99160800000,45.52554000000,8,2010
26,1,26,26,6,1081,SD 03-2010,45.52554000000,-99.99161000000,-99.99160800000,45.52554000000,8,2010
27,1,27,27,6,1081,SD 03-2010,45.52554000000,-99.99161000000,-99.99160800000,45.52554000000,8,2010
28,1,28,28,6,1081,SD 03-2010,45.52554000000,-99.99161000000,-99.99160800000,45.52554000000,8,2010
29,1,29,29,6,1081,SD 03-2010,45.52554000000,-99.99161000000,-99.99160800000,45.52554000000,8,2010
30,1,30,30,6,1081,SD 03-2010,45.52554000000,-99.99161000000,-99.99160800000,45.52554000000,8,2010
31,1,31,31,6,1081,SD 03-2010,45.52554000000,-99.99161000000,-99.99160800000,45.52554000000,8,2010
32,1,32,32,6,1082,SD 04-2010,45.53315000000,-100.18729000000,-100.18729000000,45.53315000000,8,2010
33,1,33,33,6,1081,SD 03-2010,45.52554000000,-99.99161000000,-99.99160800000,45.52554000000,8,2010
34,1,34,34,6,1081,SD 03-2010,45.52554000000,-99.99161000000,-99.99160800000,45.52554000000,8,2010
35,1,35,35,6,1081,SD 03-2010,45.52554000000,-99.99161000000,-99.99160800000,45.52554000000,8,2010
36,1,36,36,6,1081,SD 03-2010,45.52554000000,-99.99161000000,-99.99160800000,45.52554000000,8,2010
37,1,37,37,6,1081,SD 03-2010,45.52554000000,-99.99161000000,-99.99160800000,45.52554000000,8,2010
38,1,38,38,6,1081,SD 03-2010,45.52554000000,-99.99161000000,-99.99160800000,45.52554000000,8,2010
39,1,39,39,6,1081,SD 03-2010,45.52554000000,-99.99161000000,-99.99160800000,45.52554000000,8,2010
40,1,40,40,6,1081,SD 03-2010,45.52554000000,-99.99161000000,-99.99160800000,45.52554000000,8,2010
41,1,41,41,6,1081,SD 03-2010,45.52554000000,-99.99161000000,-99.99160800000,45.52554000000,8,2010
