	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	nosema	lnnosema1	nosema	lnnosema1	nosema_d	mites	lnmites1
							
lncorn	-0.00979*	-0.00477*	-0.00922*	-0.00413*	-0.0244	-0.0262	-0.0101*
	(0.00545)	(0.00244)	(0.00559)	(0.00245)	(0.0160)	(0.0405)	(0.00589)
lnsoy	0.00400	0.00114	0.00379	0.000854	0.00334	-0.0240	0.00233
	(0.00510)	(0.00199)	(0.00522)	(0.00201)	(0.0125)	(0.0431)	(0.00473)
lnwwht	-0.00929	-0.00351	-0.00964	-0.00342	-0.00266	-0.0125	-0.00364
	(0.00606)	(0.00238)	(0.00613)	(0.00237)	(0.0132)	(0.0270)	(0.00468)
lnohay	0.0122***	0.00583***	0.0122**	0.00586***	0.0346**	-0.0644*	-0.00771
	(0.00473)	(0.00210)	(0.00472)	(0.00210)	(0.0140)	(0.0389)	(0.00518)
lnalfalfa	0.00125	0.000729	0.000404	0.000681	0.0319**	-0.105**	-0.0139**
	(0.00610)	(0.00248)	(0.00652)	(0.00257)	(0.0161)	(0.0498)	(0.00578)
plant_lncorn	0.0206**	0.00731**	0.0199**	0.00682*	0.0349*	-0.0418	0.000830
	(0.00915)	(0.00360)	(0.00910)	(0.00356)	(0.0203)	(0.0439)	(0.00717)
plant_lnsoy	-0.0195**	-0.00766**	-0.0190**	-0.00757**	-0.00977	0.000828	-0.00612
	(0.00816)	(0.00313)	(0.00814)	(0.00312)	(0.0164)	(0.0310)	(0.00549)
plant_lnwwht	0.00486	0.00152	0.00485	0.00124	-0.000365	0.0326	0.0117
	(0.00587)	(0.00264)	(0.00598)	(0.00265)	(0.0184)	(0.0560)	(0.00728)
plant_lnalfalfa	-0.00307	-0.00335	-0.00225	-0.00296	-0.0396**	0.0242	-0.000664
	(0.00658)	(0.00281)	(0.00661)	(0.00284)	(0.0183)	(0.0501)	(0.00678)
plant_lnohay	-0.00377	-0.000626	-0.00406	-0.000671	0.0123	0.0618	0.00674
	(0.00498)	(0.00230)	(0.00501)	(0.00231)	(0.0166)	(0.0457)	(0.00616)
lncitrus	0.0260*	0.0129**	0.0256*	0.0132**	0.0577**	-0.0405	-0.0122
	(0.0152)	(0.00594)	(0.0150)	(0.00591)	(0.0292)	(0.0509)	(0.0104)
lntreefruit	0.0129**	0.00461*	0.0129**	0.00503**	0.0108	0.0525	0.00800
	(0.00625)	(0.00249)	(0.00620)	(0.00249)	(0.0151)	(0.0396)	(0.00567)
lntreenuts	-0.00438	-0.00421	-0.00446	-0.00276	-0.0113	-0.156***	-0.0309***
	(0.00778)	(0.00275)	(0.00566)	(0.00261)	(0.0195)	(0.0402)	(0.00683)
lnberries	-0.00359	0.000904	-0.00290	0.00117	0.0357*	-0.138***	-0.0215***
	(0.00785)	(0.00326)	(0.00755)	(0.00319)	(0.0196)	(0.0479)	(0.00704)
lnhort	0.00872*	0.00373*	0.00828*	0.00350*	0.0190	0.0202	0.00368
	(0.00484)	(0.00200)	(0.00484)	(0.00200)	(0.0121)	(0.0322)	(0.00469)
lnalmonds			0.000501	-0.00622	-0.0565	0.206***	0.0232*
			(0.0237)	(0.00723)	(0.0397)	(0.0719)	(0.0123)
lndeveloped	-0.00911	-0.00500	-0.00780	-0.00414	-0.0280	0.195*	0.0344**
	(0.00991)	(0.00509)	(0.00966)	(0.00497)	(0.0378)	(0.116)	(0.0148)
average_mintemp	-0.00662	-0.00278	-0.00567	-0.00271	-0.000416	-0.0770**	-0.00146
	(0.00487)	(0.00205)	(0.00500)	(0.00212)	(0.0124)	(0.0324)	(0.00454)
average_precip	0.000217	0.000188	0.000186	0.000184	0.00185**	0.00130	-0.000178
	(0.000287)	(0.000131)	(0.000298)	(0.000133)	(0.000897)	(0.00242)	(0.000322)
_Iregion_2	-0.0928	-0.0754***	-0.0988	-0.0775***	-0.562***	0.122	0.0700
	(0.0709)	(0.0261)	(0.0703)	(0.0260)	(0.178)	(0.699)	(0.0679)
_Iregion_3	0.00580	-0.00846	-0.00130	-0.00745	0.0484	-1.736*	-0.135
